mmsi,name,imo,callsign,ship_type,length_m,width_m,mobile_class
219019067,GAIA NORDIC,9614593,OWPK2,Tanker,50.0,9.0,Class A
219020146,,,,,,,Class B
219020225,SOEKATTEN,,XP8513,Pleasure,10.0,3.0,Class B
219020578,BRESTUR HG63,,OX2821,Fishing,10.0,4.0,Class A
219021212,MAAJEN,,XPE7523,Pleasure,9.0,4.0,Class B
219021235,HAVFISKEN,,OWRB,Other,18.0,6.0,Class A
219021388,CINTA,,XPE7666,Pleasure,15.0,4.0,Class B
219021587,TEMPUS,,XPE7859,Pleasure,12.0,4.0,Class B
219022095,SAR RHIB AGGER,,XPE8362,SAR,7.0,2.0,Class B
219022157,ORSKOV YARD,,XPE8422,Other,10.0,10.0,Class B
219022162,ANGEL,,XPE8428,Pleasure,,4.0,Class B
219022257,DANPILOT BRAVO,9812092,OXKI2,Pilot,20.0,6.0,Class A
219022300,ODIN,8703995,OXIM2,Tug,28.0,9.0,Class A
219022358,DRACONIS,,XPE8607,Sailing,15.0,4.0,Class B
219022479,PERNILLE,,XPE8722,Pleasure,7.0,3.0,Class B
219022524,FRU SAXIUS,,XPE8764,Pleasure,6.0,3.0,Class B
219022611,NEMO,,XPE8857,Pleasure,14.0,4.0,Class B
219022804,MIRANDA,,XPE9049,Pleasure,14.0,5.0,Class B
219023085,BLUE NOSE,,XPH2075,Pleasure,12.0,4.0,Class B
219023115,SNEKLE II,,XP7369,Pleasure,9.0,3.0,Class B
219023731,MARY,,XPH2661,Pleasure,12.0,4.0,Class B
219023870,MIE AALBAEK,,XPH2781,Sailing,18.0,6.0,Class B
219024585,MANICH,,XPH3458,Sailing,10.0,4.0,Class B
219024690,219024690,,XPH3546,Pleasure,15.0,4.0,Class B
219024715,FRU LUNDSGAARD SG 17,,XPB9288,Fishing,10.0,4.0,Class A
219024832,MAGIA,,XPH3668,Sailing,15.0,5.0,Class B
219024852,SEA ANN,,XPH3689,Pleasure,12.0,4.0,Class B
219024899,FILSOE,,XPH3741,Pleasure,5.0,2.0,Class B
219025076,SIMA,,XPC7155,Sailing,10.0,4.0,Class B
219025121,,,,,,,Class B
219025260,MATHILDE,,XPH4075,Pleasure,10.0,4.0,Class B
219025289,FRIGG SAEBY,,XPH4101,Pleasure,9.0,3.0,Class B
219025340,MEDITATION,,XPH4147,Pleasure,11.0,4.0,Class B
219025465,MERLE,,XPH4262,Pleasure,10.0,3.0,Class B
219025470,MINTZ,,XPH4266,Pleasure,7.0,3.0,Class B
219025854,ASIAQ,,XPH4618,Pleasure,8.0,2.0,Class B
219026327,ROSA,,XPH5038,Sailing,9.0,4.0,Class B
219026369,STORMMAAGEN,,XPH5077,Pleasure,10.0,4.0,Class B
219026533,WHALSAY,,XPH5234,Pleasure,10.0,4.0,Class B
219026558,M/S NORDLYS,,XPH5259,Not party to conflict,100.0,40.0,Class A
219026706,DANPILOT QUEBEC,9878462,OX3144,Pilot,15.0,5.0,Class A
219026862,HOPE,,XPH5550,Pleasure,8.0,4.0,Class B
219027752,ELIN,,OYOL,Fishing,24.0,8.0,Class A
219027825,ETTE,,XPH6434,Pleasure,10.0,3.0,Class B
219028071,ADA,,XPH6630,Sailing,9.0,3.0,Class B
219028256,ARIEL,,XPH6800,Sailing,9.0,3.0,Class B
219028337,SVITZER EDDA,9898929,OZFY2,Tanker,30.0,13.0,Class A
219028387,HELGE,,XPH6921,Pleasure,9.0,3.0,Class B
219028577,,,XPH7083,Sailing,14.0,4.0,Class B
219028949,BELLA LUNA,,XPH7445,Pleasure,8.0,3.0,Class B
219029004,MOANA,,XPH7496,Pleasure,13.0,4.0,Class B
219029283,ATHENA,,PZFR,Pleasure,23.0,5.0,Class B
219029594,FREJKA,,XPH8050,Pleasure,10.0,3.0,Class B
219029704,SAR BIL SAEBY,,,,,,Class A
219029825,INGA LIS,,XPH8258,Pleasure,11.0,4.0,Class B
219030209,MAMAIA,,XPH8618,Sailing,11.0,4.0,Class B
219030313,LIV AALB,,XPH8718,Pleasure,10.0,4.0,Class B
219030766,HY.HING,,XPI2074,Sailing,13.0,3.0,Class B
219030959,ESTELLE,,XPI2259,Pleasure,12.0,4.0,Class B
219031199,BETTE,,XPI2486,Sailing,13.0,5.0,Class B
219031325,MATRINE,,XPI2614,Pleasure,10.0,3.0,Class B
